GEOID,API,ncescode,name,levelcode_sch,rating_sch,frpl_sch,enrollment_sch,white_sch,black_sch,hispanic_sch,asian_sch,multiracial_sch,native_american_sch,distance,feet,white_tract,black_tract,asian_tract,hispanic_tract,highschool_tract,bachelors_tract,med_earnings_adults,poverty_tract,foodstamps_tract
6023011000,402320018,60142005172,Toddy Thomas Elementary School,e,5,0.513,NA,0.684982,0.010989,0.227106,0.003663,0.029304,0.043956,2376.649,7797.405,0.8738663,0.007171483,0.01476482,0.1233917,0.8680251,0.1438871,NA,0.1138572,0.640625
6023011100,402300075,63273005087,Monument Middle School,m,5,0.724,98,0.734694,NA,0.163265,0.0204082,0.0102041,0.0714286,4829.558,15845.01,0.8918195,0.008860499,0.002678755,0.09334432,0.8810573,0.1063142,NA,0.1315456,0.7486631
6023011100,402300075,63610006171,Stanwood A. Murphy Elementary School,"e,m",4,0.652,234,0.69163,NA,0.220264,NA,0.0352423,0.0528634,6855.363,22491.35,0.8918195,0.008860499,0.002678755,0.09334432,0.8810573,0.1063142,NA,0.1315456,0.7486631
6023011100,402300075,63273005086,Eagle Prairie Elementary School,e,6,0.727,234,0.700441,NA,0.15859,0.00881058,0.0881057,0.0440529,4829.558,15845.01,0.8918195,0.008860499,0.002678755,0.09334432,0.8810573,0.1063142,NA,0.1315456,0.7486631
6023011200,402300063,60003803640,Mattole Elementary School,"e,m",NA,0.391,45,0.956522,NA,0.0434783,NA,NA,NA,951.719,3122.438,0.9140176,0.005752346,0.003633061,0.1489555,0.9280257,0.2440692,NA,0.1227645,0.4863014
6023011200,402300060,60003807500,Mattole Valley Charter (#159) School,"e,m,h",4,0.678,667,0.73716,0.0120846,0.101208,0.00604229,0.0891239,0.0468278,1637.265,5371.604,0.9140176,0.005752346,0.003633061,0.1489555,0.9280257,0.2440692,NA,0.1227645,0.4863014
6023011200,402300015,60003701551,Ferndale High School,h,7,0.331,138,0.821192,NA,0.125828,0.00662252,0.00662252,0.0397351,2827.604,9276.918,0.9140176,0.005752346,0.003633061,0.1489555,0.9280257,0.2440692,NA,0.1227645,0.4863014
6023011200,402300060,60003801994,Mattole Triple Junction High School,h,NA,0.222,6,1,NA,NA,NA,NA,NA,1637.265,5371.604,0.9140176,0.005752346,0.003633061,0.1489555,0.9280257,0.2440692,NA,0.1227645,0.4863014
6023011200,402300076,60003701550,Ferndale Elementary School,"e,m",5,0.426,346,0.733894,0.00280112,0.210084,0.00560224,0.00560224,0.0308123,3124.689,10251.6,0.9140176,0.005752346,0.003633061,0.1489555,0.9280257,0.2440692,NA,0.1227645,0.4863014
6023011500,402300047,60003809400,Honeydew Elementary School,e,NA,0.7,6,1,NA,NA,NA,NA,NA,1496.592,4910.08,0.9084932,0.008219178,0.000547945,0.09178082,0.9083125,0.1958616,NA,0.242013,0.4876033
