Year, Month, Monthly MRSL in meters
1981,11,0.012
1981,12,0.031
1982,1,-0.068
1982,2,-0.082
1982,3,-0.101
1982,4,-0.124
1982,5,-0.061
1982,6,0.056
1982,7,-0.043
1982,8,-0.058
1982,9,-0.055
1982,10,0.019
1982,11,-0.113
1982,12,-0.033
1983,1,-0.022
1983,2,0.068
1983,3,0.097
1983,4,0.068
1983,5,-0.009
1983,6,-0.023
1983,7,0.015
1983,8,0.009
1983,9,-0.015
1983,10,0.012
1983,11,0.079
1983,12,0.004
1984,1,-0.04
1984,2,0.004
1984,3,0.045
1984,4,0.105
1984,5,-0.009
1984,6,0.011
1984,7,-0.027
1984,8,0.018
1984,9,-0.07
1984,10,-0.021
1984,11,-0.009
1984,12,-0.027
1985,1,0.033
1985,2,-0.015
1985,3,-0.052
1985,4,-0.042
1985,5,0.021
1985,6,-0.017
1985,7,-0.015
1985,8,-0.003
1985,9,0.003
1985,10,-0.052
1985,11,0.037
1985,12,0.01
1986,1,-0.08
1986,2,0.02
1986,3,-0.086
1986,4,0.044
1986,5,0.021
1986,6,-0.029
1986,7,0.012
1986,8,-0.033
1986,9,-0.049
1986,10,-0.015
1986,11,-0.073
1986,12,-0.042
1987,1,0.063
1987,2,-0.052
1987,3,0.036
1987,4,0.062
1987,5,-0.049
1987,6,-0.029
1987,7,-0.003
1987,8,-0.018
1987,9,-0.024
1987,10,-0.055
1987,11,-0.07
1987,12,0.04
1988,1,-0.114
1988,2,-0.055
1988,3,-0.077
1988,4,0.071
1988,5,-0.027
1988,6,-0.005
1988,7,-0.058
1988,8,-0.033
1988,9,-0.067
1988,10,-0.024
1988,11,-0.046
1988,12,-0.045
1989,1,-0.047
1989,2,-0.076
1989,3,-0.101
1989,4,-0.075
1989,5,-0.036
1989,6,-0.011
1989,7,-0.021
1989,8,-0.003
1989,9,-0.043
1989,10,-0.036
1989,11,-0.033
1989,12,-0.088
1990,1,-0.062
1990,2,-0.061
1990,3,-0.135
1990,4,-0.106
1990,5,0.006
1990,6,-0.014
1990,7,-0.039
1990,8,0.012
1990,9,0.003
1990,10,-0.018
1990,11,0.003
1990,12,-0.054
1991,1,-0.016
1991,2,-0.036
1991,3,0.064
1991,4,-0.002
1991,5,-0.021
1991,6,0.02
1991,7,-0.003
1991,8,0
1991,9,-0.027
1991,10,0.028
1991,11,0.009
1991,12,-0.006
1992,1,0.03
1992,2,0.035
1992,3,-0.004
1992,4,0.001
1992,5,-0.027
1992,6,0.026
1992,7,0
1992,8,-0.021
1992,9,-0.064
